Test Case ID,Test Scenario,Precondition,Test Condition,Test Case Steps,Test Data,Expected Result,Automation Results,Actual Result Iteration 1,"Status
 Iteration 1","Actual Result Iteration 2
(to be updated only if test case failed in Iteration 1) ","Status
 Iteration 2
(to be updated only if test case failed in Iteration 1)",Comments,Req: Reference
TC_LOGIN_006,Verification of Password field shouldn't be empty.,"User has already 
 registered on the website.
 User has a valid username & password.
 The Login page is available.",To validate that Password field should not be left empty,"1. Open Browser
 2. Enter URL for the website
 3. Click on Login link
 4. Enter Username
 5. Enter Password
 6. Click on Sign In button","https://www.amazon.in
 Username= Prit@gmail.com",The Home page should not load.,Yes,,,,,,
TC_search_product_01,Verification of availability of search option,"1. Browser should be open
 2. Amazon website should be open",To validate if the search option is loaded with a proper UI.,"1. Open edge Browser
 2. Load amazon website","1. browser = edge
 2. URL= ""https://www.amazon.in/""","1. search box should be display
 2. search box should get focus",Yes,,,,,,
TC_search_product_02,Verification of editability of search option,"1. Browser should be open
 2. Amazon website should be open",To validate if search box is clickable and editable,"1. Open edge Browser
 2. Load amazon website
 3. Click on search box
 4. Type any characters in the search box","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. ____
 4. Characters = ""laptop""","1. search box should get focus (cursor should be inside the search box)
 2. search box should display the characters",Yes,,,,,,
TC_search_product_03,Verification of auto suggestion availability,"1. Browser should be open
 2. Amazon website should be open","To validate if Typing any single character in the search box, it should show a list of product suggestions starting with the entered character","1. Open edge Browser
 2. Load amazon website
 3. Click on search box
 4. Type any characters in the search box","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. ____
 4. Characters = ""l""","1. search results should show a list ofproduct suggesstions starting with ""l"" character",No,,,,,yes,
TC_search_product_04,Verification of auto suggestion availability,"1. Browser should be open
 2. Amazon website should be open","To validate if Type any single character and try to select an item, the user should be able to choose a product from the dropdown product list.","1. Open edge Browser
 2. Load amazon website
 3. Click on search box
 4. Type any characters in the search box","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. ____
 4. Characters = ""laptop""",1. User should be able to choose a product from the dropdown product list,Yes,,,,,,
TC_search_product_05,verification of functionality of search box,"1. Browser should be open
 2. Amazon website should be open","To validate if enter a random character, it should load the result page with an error message like ""No results found"".","1. Open edge Browser
 2. Load amazon website
 3. Click on search box
 4. Type any characters in the search box","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. ____
 4. Characters = *%$#","1.search result should be load the page with error message like ""no results found"".",Yes,,,,,,
TC_search_product_06,verification of functionality of search box,"1. Browser should be open
 2. Amazon website should be open","To validate Combination of alphanumeric character,string, character, number, it should load result page (as per requirement)","1. Open edge Browser
 2. Load amazon website
 3. Click on search box
 4. Type any characters in the search box","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. ____
 4. Characters = ""laptop 50000""",1.search result should be load.,Yes,,,,,,
TC_search_product_07,verification of functionality of search box,"1. Browser should be open
 2. Amazon website should be open","To validate if Type any single character, it should display ten suggestions in the list format.","1. Open edge Browser
 2. Load amazon website
 3. Click on search box
 4. Type any characters in the search box","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. ____
 4. Characters = ""l""","1. Type any single character, it should display ten suggestions in the list format.",No,,,,,yes,
TC_search_product_08,verification of functionality of search box,"1. Browser should be open
 2. Amazon website should be open","To validate if entering nothing/ click on the search button, it should show the same page without refreshing the page","1. Open edge Browser
 2. Load amazon website
 3. Click on search box
 4. Type any characters in the search box","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. ____
 4. Characters = """"",1 search is blank then it should show same page without refreshing the page,Yes,,,,,,
TC_search_product_09,verification of functionality of search box,"1. Browser should be open
 2. Amazon website should be open",To validate if the search box allow searching with incorrect spellings,"1. Open edge Browser
 2. Load amazon website
 3. Click on search box","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. ____
 4. Characters = ""lptop""",1.search result should be load.,Yes,,,,,,
TC_search_product_11,Verification of search rules,"1. Browser should be open
 2. Amazon website should be open",To validate search rules defined for “similar Match” with the search key word,"1. Open edge Browser
 2. Load amazon website
 3. Click on search box
 4. Type any characters in the search box","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. ____
 4. Characters = ""laptop 50000""",1. search result should load the results of a similar match with the search keyword,Yes,,,,,,
TC_search_product_12,Verification of search rules,"1. Browser should be open
 2. Amazon website should be open",To validate if user should be able to search when he enters the keyword and hits ‘Enter’ button on keyboard,"1. Open edge Browser
 2. Load amazon website
 3. Click on search box
 4. Type any characters in the search box","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. ____
 4. Characters = ""laptop 50000""","1. search result should be load after entering the search keyword or by hitting the ""Enter"" button on keyboard",Yes,,,,,,
TC_search_product_13,Verification of search rules,"1. Browser should be open
 2. Amazon website should be open",To validate the limitation of search characters,"1. Open edge Browser
 2. Load amazon website
 3. Click on search box
 4. Type any characters in the search box","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. ____
 4. Characters = greater than 250 character","1. User should get error mesage ""you exceeds the character limit""",Yes,,,,,,
TC_search_product_14,Verification of search rules,"1. Browser should be open
 2. Amazon website should be open",To validate the link navigation ,"1. Open edge Browser
 2. Load amazon website
 3. Click on search box
 4. Type any characters in the search box","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. ____
 4. Characters = ""Laptop""",1. when search result is loaded te should get navigated,Yes,,,,,,
TC_search_product_15,"verification of ""microphone"" functionality","1. Browser should be open
2. Amazon website should be open","To validate if select microphone, say valid product name should able to load result page with valid product","1. Open edge Browser
 2. Load amazon website
 3. Click on microphone
 4. say something","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. microphone
 4. words=""laptop""",1. search result page should be loaded with a valid produts name said by user.,No,,,,,,
TC_search_product_16,"verification of ""microphone"" functionality","1. Browser should be open
2. Amazon website should be open","To validate if select microphone, say invalid product name should show an option to “try again” or “type your search","1. Open edge Browser
 2. Load amazon website
 3. Click on microphone
 4. say something","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. microphone
 4. words=""abcdefgh""","1. search result page should be show an option to ""try again"" or ""type your search""",No,,,,,,
TC_search_product_17,"Verification of ""camera"" functionality","1. Browser should be open
2. Amazon website should be open",To validate if camera and gallery popup,"1. Open edge Browser
 2. Load amazon website
 3. Click on camera","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. camera",1. camera and gallery pop-up.,No,,,,,,
TC_search_product_18,"Verification of ""camera"" functionality","1. Browser should be open
2. Amazon website should be open","To validate if Selection of the camera button, scan a product should allow scanning a product","1. Open edge Browser
 2. Load amazon website
 3. Click on camera
 4. scan any product using camera","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. camera
 4. image = laptop","1. search result page should load results of the product laptop with different cost , brands, etc.",No,,,,,,
TC_search_product_19,Verification of selection of categories,"1. Browser should be open
2. Amazon website should be open",To validate if selection of a category should show the selected category is highlighted,"1. Open edge Browser
 2. Load amazon website
 3. search categories
 4. select catogory","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. search = ctegory
 4. select ""laptop""",1. Selected category should be highlighted,No,,,,,,
TC_search_product_20,"Verification of ""All"" dropdown list","1. Browser should be open
2. Amazon website should be open","To validate whether the ""All"" dropdown list of category loaded properly","1. Open edge Browser
 2. Load amazon website
 3. search categories
 4. select catogory","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. ""All"" dropdown","The ""All"" dropdown option should be appeared",Yes,,,,,,
TC_search_product_21,"Verification of ""All"" dropdown list ","1. Browser should be open
2. Amazon website should be open",To validate the category selected by user loaded with proper result,"1. Open edge Browser
 2. Load amazon website
 3. select catogory ""Electronics"" from ""All"" dropdown","1. browser = edge
 2. URL= ""https://www.amazon.in/""
 3. ""All"" dropdown list
 4. select ""electronics""",The selected category should be loaded with proper search result,Yes,,,,,,
,,,,,,,,,,,,,
TC_Wishlist_001,"verification of ""wishlist"" option appearance in list menu","1.Browser should be open
 2.amazon home page should be loaded",To validate if wishlist option appeared in list menu,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu","1.browser=edge
 2.url=""https//www.amazon.com""","As we clickon list menu of Amazon home page ""Wishlist"" Option should be appeared",Yes,,,,,,
TC_Wishlist_002,Verification of create wishlist option,"1.Browser should be open
 2.amazon home page should be loaded",To validate if it is clickable,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.click on create wishlist option","1.browser=edge
 2.url=""https//www.amazon.com""",Create wishlist option should be clickable,Yes,,,,,,
TC_Wishlist_003,Verification of create wishlist option,"1.Browser should be open
 2.amazon home page should be loaded",To validate ii it opens create wishlist window after clicking on create wishlist option,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.click on create wishlist option","1.browser=edge
 2.url=""https//www.amazon.com""","As cliscked on ""wishlist"" option ""create wishlist"" window should be open",Yes,,,,,,
TC_Wishlist_004,Verification of create wishlist option,"1.Browser should be open
 2.amazon home page should be loaded",To validate If it is show save option,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.click on create wishlist option","1.browser=edge
 2.url=""https//www.amazon.com""","as we open ""create wishlist"" window ""save"" option should be appeared",Yes,,,,,,
TC_Wishlist_005,"Verification of ""list name"" text box of create wishlist category","1.Browser should be open
 2.amazon home page should be loaded","To validate if it accept characters,numbers and symbols.","1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.click on create wishlist option","1.browser=edge
 2.url=""https//www.amazon.com""
 3.List name=""Mylist@1""","List name field should accept characters,symbols and numbers.",Yes,,,,,,
TC_Wishlist_006,"Verification of ""list name"" text box of create wishlist category","1.Browser should be open
 2.amazon home page should be loaded",To validate if it accept minimum 1 character,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.click on create wishlist option","1.browser=edge
 2.url=""https//www.amazon.com""
 3.List name=""M""",List name field should accept minimum 1 character,Yes,,,,,,
TC_Wishlist_007,"Verification of ""list name"" text box of create wishlist category","1.Browser should be open
 2.amazon home page should be loaded",To validate if it accept maximum 255 characters,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.click on create wishlist option","1.browser=edge
 2.url=""https//www.amazon.com""
 
 3.charcters=""Harshvardhan""eg.write upto 255 characters",List name field should accept maximum 255 character,Yes,,,,,,
TC_Wishlist_008,"Verification of ""list name"" text box of create wishlist category","1.Browser should be open
 2.amazon home page should be loaded",To validate if it is mandatory field,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.click on create wishlist option","1.browser=edge
 2.url=""https//www.amazon.com""",List name should not be left blank,Yes,,,,,,
TC_Wishlist_009,Verification of save option of create wishlist category,"1.Browser should be open
 2.amazon home page should be loaded",To validate if it is clickable,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.click on create wishlist option 
 5.click on save option","1.browser=edge
 2.url=""https//www.amazon.com""",Save option should be clickable and generate valid output,Yes,,,,,,
TC_Wishlist_010,Verification of save option of create wishlist category,"1.Browser should be open
 2.amazon home page should be loaded
 3.""Create wishlist"" page should be open","To validate if save option is clicked and list name appeared in ""your list"" List.","1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.click on create wishlist option 
 5.click on save option","1.browser=edge
 2.url=""https//www.amazon.com""","As we click on save option saved ""list name"" should be appered in ""your list"" List",Yes,,,,,,
TC_Wishlist_011,Verification of created wishlist are by default private,"1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open",To validate if Wishlist are by default in private access only,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list","1.browser=edge
 2.url=""https//www.amazon.com""","As we open our created list it should pe ""private"" by default",Yes,,,,,,
TC_Wishlist_012,Verification of creating multiple wishlist,"1.Browser should be open
 2.amazon home page should be loaded
 3.Allready one list should be creted",To validate if user can crete new list if allready list are present,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.click on create wishlist option","1.browser=edge
 2.url=""https//www.amazon.com""",New wish list shoul be creted if allready wishlist are present,No,,,,,Yes,
TC_Wishlist_013,Verification of update wishlist properly,"1.Browser should be open
 2.amazon home page should be loaded
 3.search option should be available",To validate if added product by user is present in a wishlist,"1. Open edge Browser
 2. Load amazon url
 3. Search product","1.browser=edge
 2.url=""https//www.amazon.com""
 3.product=""Hp I5 Laptop""",added products should be displayed in wishlist,Yes,,,,,,
TC_Wishlist_014,Verification of update wishlist properly,"1.Browser should be open
 2.amazon home page should be loaded
 3.search option should be available",To validate if user can added multiple product on same wishlist,"1. Open edge Browser
 2. Load amazon url
 3. Search product","1.browser=edge
 2.url=""https//www.amazon.com""
 3.product=All laptops with ""Hp I5"" criteria",user should be added multiple products in one wishlist,Yes,,,,,,
TC_Wishlist_015,Verification of add to cart option for specific item can be added to cart,"1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open","To validate if ""Add to cart"" option present on every item of wishlist","1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list","1.browser=edge
 2.url=""https//www.amazon.com""",add to cart option should be presnt on every item of wishlist,Yes,,,,,,
TC_Wishlist_016,Verification of add to cart option for specific item can be added to cart,"1.Browser should be open
 2.amazon home page should be loaded
 3.search option should be available
 4.""your list"" page should be open",2.To validate if specific item will be added to cart after clicking,"1. Open edge Browser
 2. Load amazon url
 3. search product
 4.Click on Add to cart
 5.open wishlist","1.browser=edge
 2.url=""https//www.amazon.com""
 3.product=""hp i5 laptop""","As we click on ""Add to cart"" option the product should appeared in wishlist",No,,,,,,
TC_Wishlist_017,Verification of user can move product from one wishlist to another,"1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open",To validate if it shows move option for every wishlist item,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list","1.browser=edge
 2.url=""https//www.amazon.com""","As we open wishlist ""Move"" option should be available for every product",Yes,,,,,,
TC_Wishlist_018,Verification of user can move product from one wishlist to another,"1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.Move option should be available",Validate if item moved from one wishlist to another after clicking move option,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list
 5.Click on move option
 6.select any other list to move product","1.browser=edge
 2.url=""https//www.amazon.com""","As we clickon ""move"" option It should be ask for list name and product should be moved on perticular list",Yes,,,,,,
TC_Wishlist_019,Verification of delete product option to user can delete specific item from wishlist,"1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open",Validate if delete option available for every wishlist item,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list","1.browser=edge
 2.url=""https//www.amazon.com""","As we open wishlist ""Delete"" option should be available for every product",Yes,,,,,,
TC_Wishlist_020,Verification of delete product option to user can delete specific item from wishlist,"1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.Delete option should be available","Validate if specific item will be removed after clicking ""delete"" option","1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list
 5.Select any product from list
 5.Click on Delete option","1.browser=edge
 2.url=""https//www.amazon.com""","As we click on ""Delete"" optionan perticular selected product should be deleted from the list.",Yes,,,,,,
TC_Wishlist_021,"Verification of add comment,quantity and priority option for all wishlist items","1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.some products should be added in a list.",To validate If option available for every item in a list,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list","1.browser=edge
 2.url=""https//www.amazon.com""","when open created wishlist an ""Add comment,quantity and priority "" optionshould be available for every product in a list.",Yes,,,,,,
TC_Wishlist_022,"Verification of add comment,quantity and priority option for all wishlist items","1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.some products should be added in a list.",to validate if it opens new window after click on it,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list
 5.click on ""Add comment,quantity and priority "" option","1.browser=edge
 2.url=""https//www.amazon.com""","As we click on ""Add comment, quantity and priority"" option An new window should be open to fill the details.",Yes,,,,,,
TC_Wishlist_023,"Verification of add comment,quantity and priority option for all wishlist items","1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.some products should be added in a list.
 5.""Add comment,quantity and priority "" Window should be loaded","to validate if it shows Comment,quantity and priority option","1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list","1.browser=edge
 2.url=""https//www.amazon.com""","As we click on ""Add comment, quantity and priority"" option An new window should contains ""comment"" ,""Quantity"" And ""Priority"" Fields.",Yes,,,,,,
TC_Wishlist_024,"Verification of comment field of add comment,quantity and priority category","1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.some products should be added in a list.
 5.""Add comment,quantity and priority "" Window should be loaded
 6.Comment option should be available",To validate if it can be null,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list
 5.click on ""Add comment,quantity and priority "" option
 6.make comment field empty
 7.And click on Save option","1.browser=edge
 2.url=""https//www.amazon.com""
 3.Comment=""""",As we click on save with empty comment field it should save successfully without error.,Yes,,,,,,
TC_Wishlist_025,"Verification of comment field of add comment,quantity and priority category","1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.some products should be added in a list.
 5.""Add comment,quantity and priority "" Window should be loaded
 6.Comment option should be available","To validate if it accept character,symbol and digit","1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list
 5.click on ""Add comment,quantity and priority "" option
 6.Click on ""comment"" fileld","1.browser=edge
 2.url=""https//www.amazon.com""
 3.Comment=""All hp laptops added in alist Harsh@123""",Comment Filed should accept entered data Without error.,Yes,,,,,,
TC_Wishlist_026,"Verification of comment field of add comment,quantity and priority category","1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.some products should be added in a list.
 5.""Add comment,quantity and priority "" Window should be loaded
 6.Comment option should be available",.To validate if it accepts 250 characters,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list
 5.click on ""Add comment,quantity and priority "" option
 6.Click on ""comment"" fileld","1.browser=edge
 2.url=""https//www.amazon.com""
 3.Comment=""All hp laptops added in alist Harsh@123""eg.write upto 255 characters",Comment filed should accept 250 charecters without any error after 250 character it Should display error message.,Yes,,,,,,
TC_Wishlist_027,"Verification of priority list of add comment,quantity and priority category","1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.some products should be added in a list.
 5.""Add comment,quantity and priority "" Window should be loaded",To validate If it shows prioririty list,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list
 5.click on ""Add comment,quantity and priority "" option","1.browser=edge
 2.url=""https//www.amazon.com""","As we click on ""Add comment, quantity and priority"" option An new window should be open with priority option appeared in a window.",Yes,,,,,,
TC_Wishlist_028,"Verification of priority list of add comment,quantity and priority category","1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.some products should be added in a list.
 5.""Add comment,quantity and priority "" Window should be loaded
 6.Priority list should be available","To validate if it shows 4 priorities ''low',''medium"",""high"",""highest"".","1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list
 5.click on ""Add comment,quantity and priority "" option
 6.Click on priority ""select list""","1.browser=edge
 2.url=""https//www.amazon.com""","priority list should be avilable with ''low',''medium"",""high"" And ""highest"" priorities",Yes,,,,,,
TC_Wishlist_029,"Verification of priority list of add comment,quantity and priority category","1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.some products should be added in a list.
 5.""Add comment,quantity and priority "" Window should be loaded
 6.Priority list should be available",To validate if all are selctable,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list
 5.click on ""Add comment,quantity and priority "" option
 6.Click on ""priority"" select list .","1.browser=edge
 2.url=""https//www.amazon.com""",as we click on any option of salect it should be selectable.,Yes,,,,,,
TC_Wishlist_030,"Verification of priority list of add comment,quantity and priority category","1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.some products should be added in a list.
 5.""Add comment,quantity and priority "" Window should be loaded
 6.Priority list should be available",To validate if only one will be select at a time.,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list
 5.click on ""Add comment,quantity and priority "" option
 6.Click on ""priority"" select list .","1.browser=edge
 2.url=""https//www.amazon.com""",As we click on any one option from select list it shold be closed and show only one selected option.,Yes,,,,,,
TC_Wishlist_031,"Verification of quantity field of add comment,quantity and priority category","1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.some products should be added in a list.
 5.""Add comment,quantity and priority "" Window should be loaded
 6.Quantity field should be available",To validate if it is editable,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list
 5.click on ""Add comment,quantity and priority "" option
 6.Click on ""Quantity"" text box","1.browser=edge
 2.url=""https//www.amazon.com""
 3.Quantity=""123""","As we click on ""Quantity"" box it should accept data from user.",Yes,,,,,,
TC_Wishlist_032,"Verification of quantity field of add comment,quantity and priority category","1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.some products should be added in a list.
 5.""Add comment,quantity and priority "" Window should be loaded
 6.Quantity field should be available",To validate if it accept only numbers,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list
 5.click on ""Add comment,quantity and priority "" option
 6.Click on ""Quantity"" text box","1.browser=edge
 2.url=""https//www.amazon.com""
 3.Quantity=""123""",As we enter any numbers it should accept it.,Yes,,,,,,
TC_Wishlist_033,"Verification of quantity field of add comment,quantity and priority category","1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.some products should be added in a list.
 5.""Add comment,quantity and priority "" Window should be loaded
 6.Quantity field should be available",To validate if it accept maximun 5 digit,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list
 5.click on ""Add comment,quantity and priority "" option
 6.Click on ""Quantity"" text box","1.browser=edge
 2.url=""https//www.amazon.com""
 3.Quantity=""12345""",Quantity field should accept numbers upto 5 digit.,Yes,,,,,,
TC_Wishlist_034,"Verification of quantity field of add comment,quantity and priority category","1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.some products should be added in a list.
 5.""Add comment,quantity and priority "" Window should be loaded
 6.Quantity field should be available",To validate if it accept minimum 1 digit.,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list
 5.click on ""Add comment,quantity and priority "" option
 6.Click on ""Quantity"" text box","1.browser=edge
 2.url=""https//www.amazon.com""
 3.Quantity=""1""",Quantity field should accept minimum one digit.,Yes,,,,,,
TC_Wishlist_035,"Verification of ""item added date"" for all items with there specific dates","1.Browser should be open
 2.amazon home page should be loaded
 3.""your list"" page should be open
 4.some products should be added in a list.",To validate if it shows item added date at the front of wishlist item,"1. Open edge Browser
 2. Load amazon url
 3. Click on list menu
 4.open creted list","1.browser=edge
 2.url=""https//www.amazon.com""",Product added date should be available in front of product,Yes,,,,,,
,,,,,,,,,,,,,
TC_Add to Cart_01,Verification of Add cart Functionality.,"1. login to the account 
 2. Product is searched.",To validate wheather product is adding to cart or not.,"1. Login to the account 
2. Search the requried product. 
3.Select the add to cart button to add the product to cart.",1. Add to cart button,"1. Add to cart should be working to add the product to cart 
 2. When we click on add to cart product should be added",Yes,,,,,,
TC_Add to Cart_02,Verification of Add cart Functionality.,"1. login to the account 
 2. Product is searched. 3.Product should be added to wishlist",To validate Wheather product is removed from the Wishlist after adding the product to the cart.,"1. Login to the account 
 2. Search the requried product. 3.The product should to added to wishlist 4.Select the add to cart button to add the product to cart","1.product in Wishlist 
2.product in Cart",1. When we click on add to cart product should be added 2.Product in the wishlist should be deleted,No,,,,,,
TC_Add to Cart_03,Verification of Add cart Functionality.,"1. login to the account 
 2. Product is searched. 3.Product is added to cart",To validate increment of number of items in cart,"1. Login to the account 
2. Search the requried product. 
3.Select the add to cart button to add the product to cart",1.Increment of products in Cart,1. When we click on add to cart product should be added 2.Product in the cart should be incremented.,Yes,,,,,,
